Tarih,Bölge,Ülke,Şehir,Ürün Kategorisi,Ürün Adı,Satış Miktarı,Satış Geliri ($),Kâr Marjı (%),Müşteri Segmenti
2023-05-23,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,18,2304,21.36,Kurumsal
2023-03-10,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,6,1542,14.89,Bireysel
2023-12-15,Afrika,Mısır,Kahire,Giyim,Ayakkabı,20,6660,29.66,Kurumsal
2023-04-07,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,8,1432,16.37,KOBİ
2023-03-15,Güney Amerika,Şili,Santiago,Mobilya,Dolap,7,238,25.27,Bireysel
2023-08-27,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,8,1992,10.02,Kurumsal
2023-03-23,Kuzey Amerika,ABD,New York,Elektronik,Tablet,8,3824,11.44,Bireysel
2023-06-27,Afrika,Nijerya,Lagos,Elektronik,Telefon,9,3384,29.44,Bireysel
2023-09-23,Asya,Çin,Pekin,Giyim,Ceket,17,6834,12.12,Bireysel
2023-12-14,Avrupa,İngiltere,Londra,Mobilya,Masa,15,2820,22.0,KOBİ
2023-09-23,Asya,Japonya,Tokyo,Elektronik,Telefon,11,4191,12.38,KOBİ
2023-09-13,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,20,3940,24.17,Kurumsal
2023-02-10,Kuzey Amerika,Meksika,Mexico City,Giyim,Pantolon,16,3072,27.87,KOBİ
2023-12-22,Asya,Japonya,Tokyo,Elektronik,Tablet,20,5420,5.77,KOBİ
2023-07-18,Güney Amerika,Şili,Santiago,Elektronik,Kulaklık,20,8000,16.23,Bireysel
2023-10-03,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Kulaklık,18,3456,20.07,KOBİ
2023-04-16,Kuzey Amerika,ABD,New York,Elektronik,Tablet,19,4541,26.59,Bireysel
2023-08-12,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,2,266,6.84,Bireysel
2023-01-01,Asya,Çin,Pekin,Giyim,Pantolon,3,858,28.78,KOBİ
2023-09-28,Afrika,Nijerya,Lagos,Elektronik,Kulaklık,15,5280,12.02,Bireysel
2023-04-10,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,3,1488,21.22,Kurumsal
2023-12-20,Avrupa,Fransa,Paris,Giyim,Ceket,7,630,16.89,KOBİ
2023-05-11,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,11,2354,26.61,Kurumsal
2023-01-29,Kuzey Amerika,ABD,New York,Elektronik,Kulaklık,10,1260,14.2,KOBİ
2023-03-07,Avrupa,İngiltere,Londra,Giyim,Ceket,17,7837,12.42,KOBİ
2023-08-20,Güney Amerika,Şili,Santiago,Giyim,Pantolon,1,31,13.73,Kurumsal
2023-07-03,Asya,Çin,Pekin,Giyim,Ayakkabı,12,2520,19.98,Bireysel
2023-02-02,Asya,Japonya,Tokyo,Giyim,Tişört,8,1320,11.52,KOBİ
2023-10-26,Asya,Hindistan,Mumbai,Elektronik,Laptop,7,714,18.46,Bireysel
2023-04-01,Asya,Japonya,Tokyo,Elektronik,Laptop,14,3388,21.01,Kurumsal
2023-02-03,Güney Amerika,Şili,Santiago,Giyim,Ceket,16,7008,29.77,KOBİ
2023-12-10,Afrika,Nijerya,Lagos,Mobilya,Dolap,3,1350,13.65,KOBİ
2023-08-29,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Laptop,12,3912,19.96,Kurumsal
2023-10-14,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,19,2717,14.12,KOBİ
2023-04-10,Afrika,Mısır,Kahire,Elektronik,Telefon,8,1520,13.83,Kurumsal
2023-08-21,Afrika,Nijerya,Lagos,Elektronik,Laptop,5,1995,11.59,Bireysel
2023-11-17,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,19,2489,15.78,KOBİ
2023-05-02,Avrupa,İngiltere,Londra,Giyim,Tişört,11,5445,18.32,Bireysel
2023-04-07,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Telefon,7,1736,13.23,KOBİ
2023-10-01,Asya,Hindistan,Mumbai,Elektronik,Telefon,6,2016,17.36,KOBİ
2023-11-29,Asya,Japonya,Tokyo,Elektronik,Laptop,15,4170,26.39,KOBİ
2023-09-15,Kuzey Amerika,ABD,New York,Giyim,Tişört,6,1842,13.19,Kurumsal
2023-04-16,Kuzey Amerika,ABD,New York,Mobilya,Masa,17,2431,11.02,KOBİ
2023-08-11,Güney Amerika,Şili,Santiago,Mobilya,Kitaplık,16,5856,21.73,KOBİ
2023-02-15,Afrika,Mısır,Kahire,Giyim,Ayakkabı,6,252,24.14,Kurumsal
2023-08-06,Güney Amerika,Şili,Santiago,Elektronik,Laptop,15,1935,22.44,KOBİ
2023-02-17,Afrika,Mısır,Kahire,Mobilya,Sandalye,4,316,10.31,KOBİ
2023-12-30,Asya,Çin,Pekin,Giyim,Pantolon,19,722,15.24,Kurumsal
2023-02-15,Avrupa,Fransa,Paris,Giyim,Pantolon,14,5180,21.21,KOBİ
2023-05-28,Avrupa,Fransa,Paris,Elektronik,Tablet,10,2690,25.32,KOBİ
2023-10-18,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,9,3564,20.89,Kurumsal
2023-02-24,Asya,Hindistan,Mumbai,Giyim,Tişört,2,536,27.92,Kurumsal
2023-07-03,Kuzey Amerika,Kanada,Toronto,Giyim,Ayakkabı,7,1085,7.98,Kurumsal
2023-03-30,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,9,3627,5.86,KOBİ
2023-04-16,Avrupa,Almanya,Berlin,Giyim,Ayakkabı,12,2628,24.1,Bireysel
2023-02-21,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Kulaklık,4,1184,7.38,Bireysel
2023-11-19,Avrupa,Almanya,Berlin,Giyim,Ceket,19,7942,9.0,KOBİ
2023-06-02,Avrupa,İngiltere,Londra,Giyim,Tişört,1,392,6.64,Bireysel
2023-08-13,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,18,7830,16.68,Bireysel
2023-12-08,Avrupa,İngiltere,Londra,Giyim,Ayakkabı,1,192,8.34,KOBİ
2023-09-09,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,19,6612,15.35,Kurumsal
2023-09-24,Avrupa,İngiltere,Londra,Mobilya,Dolap,4,1176,19.12,KOBİ
2023-07-25,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,18,522,22.17,Kurumsal
2024-01-01,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,3,552,29.7,Bireysel
2023-08-04,Asya,Çin,Pekin,Elektronik,Kulaklık,5,265,18.95,Bireysel
2023-07-22,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,1,47,6.18,KOBİ
2023-03-13,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,1,255,24.55,KOBİ
2023-03-22,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,3,204,19.74,KOBİ
2023-10-17,Kuzey Amerika,ABD,New York,Giyim,Tişört,20,5240,29.36,Kurumsal
2023-10-19,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,13,3718,13.9,Bireysel
2023-01-14,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,13,1014,16.19,Bireysel
2023-02-21,Avrupa,Fransa,Paris,Mobilya,Sandalye,16,3168,10.55,KOBİ
2023-09-28,Kuzey Amerika,ABD,New York,Giyim,Tişört,14,966,26.22,KOBİ
2023-12-09,Afrika,Nijerya,Lagos,Giyim,Tişört,19,304,5.65,Bireysel
2023-10-21,Asya,Hindistan,Mumbai,Giyim,Pantolon,12,648,14.98,KOBİ
2023-12-22,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,3,1470,16.48,Kurumsal
2023-04-19,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,9,909,13.68,KOBİ
2023-02-01,Kuzey Amerika,ABD,New York,Elektronik,Laptop,5,1540,18.0,KOBİ
2023-12-07,Afrika,Güney Afrika,Cape Town,Mobilya,Dolap,14,602,17.43,Kurumsal
2023-11-13,Avrupa,Fransa,Paris,Giyim,Ceket,15,5160,15.98,Kurumsal
2023-10-07,Afrika,Mısır,Kahire,Giyim,Ceket,14,2072,11.38,KOBİ
2023-10-21,Asya,Hindistan,Mumbai,Mobilya,Dolap,4,1976,26.06,Bireysel
2023-10-15,Güney Amerika,Şili,Santiago,Giyim,Tişört,15,2520,22.1,Kurumsal
2023-03-28,Avrupa,İngiltere,Londra,Mobilya,Sandalye,2,882,19.94,KOBİ
2023-08-31,Afrika,Nijerya,Lagos,Elektronik,Telefon,18,4302,16.63,Bireysel
2023-04-01,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,7,3409,13.71,KOBİ
2023-10-12,Güney Amerika,Şili,Santiago,Mobilya,Kitaplık,15,5070,28.8,Kurumsal
2023-08-25,Afrika,Nijerya,Lagos,Elektronik,Kulaklık,5,2255,14.75,Kurumsal
2023-04-15,Avrupa,Almanya,Berlin,Mobilya,Masa,18,8334,18.74,KOBİ
2023-11-14,Avrupa,Almanya,Berlin,Mobilya,Masa,15,6420,17.53,Kurumsal
2023-03-17,Kuzey Amerika,ABD,New York,Elektronik,Telefon,6,1920,29.58,Kurumsal
2023-02-21,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Kitaplık,5,1205,5.62,Kurumsal
2023-12-31,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,20,8140,16.94,KOBİ
2023-11-25,Asya,Hindistan,Mumbai,Mobilya,Kitaplık,7,1260,18.07,Bireysel
2023-04-29,Asya,Japonya,Tokyo,Mobilya,Kitaplık,6,1704,14.56,Bireysel
2023-04-09,Kuzey Amerika,Kanada,Toronto,Giyim,Pantolon,9,3654,6.73,Kurumsal
2023-12-17,Afrika,Mısır,Kahire,Mobilya,Sandalye,2,790,11.29,Bireysel
2023-02-17,Afrika,Mısır,Kahire,Elektronik,Laptop,16,7392,21.9,KOBİ
2023-12-17,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,9,4464,29.73,Kurumsal
2023-08-27,Avrupa,Fransa,Paris,Giyim,Ayakkabı,6,1890,28.94,KOBİ
2023-11-03,Afrika,Nijerya,Lagos,Elektronik,Telefon,15,615,20.41,KOBİ
2023-10-11,Avrupa,Almanya,Berlin,Mobilya,Sandalye,10,4150,6.02,Kurumsal
2023-03-21,Asya,Çin,Pekin,Giyim,Ayakkabı,17,1887,20.6,Bireysel
2023-08-18,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,5,1175,6.29,Bireysel
2023-12-15,Asya,Japonya,Tokyo,Mobilya,Masa,13,416,9.05,Kurumsal
2023-05-27,Asya,Çin,Pekin,Mobilya,Kitaplık,16,7760,20.35,Kurumsal
2023-12-05,Avrupa,İngiltere,Londra,Mobilya,Masa,15,6165,9.24,Kurumsal
2023-03-24,Avrupa,Fransa,Paris,Elektronik,Telefon,15,4125,23.12,Bireysel
2023-05-09,Avrupa,Fransa,Paris,Giyim,Ceket,6,1548,10.98,Kurumsal
2023-04-27,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,5,2090,21.88,Kurumsal
2023-05-01,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,13,4459,25.49,Bireysel
2023-12-15,Avrupa,Fransa,Paris,Elektronik,Kulaklık,2,904,18.72,Bireysel
2023-07-20,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,2,592,14.44,KOBİ
2023-12-16,Asya,Hindistan,Mumbai,Giyim,Ayakkabı,18,8658,5.26,Kurumsal
2023-12-08,Avrupa,Fransa,Paris,Giyim,Tişört,5,670,8.29,KOBİ
2023-12-18,Kuzey Amerika,ABD,New York,Giyim,Ceket,4,1000,6.82,Bireysel
2023-12-22,Afrika,Mısır,Kahire,Elektronik,Laptop,9,3618,8.63,Bireysel
2023-06-12,Afrika,Nijerya,Lagos,Giyim,Ceket,18,4680,22.95,KOBİ
2023-10-16,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Laptop,15,6330,10.61,Bireysel
2023-08-06,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,17,6817,23.12,KOBİ
2023-11-17,Avrupa,İngiltere,Londra,Mobilya,Sandalye,9,2052,11.31,Kurumsal
2023-02-14,Güney Amerika,Şili,Santiago,Giyim,Ceket,1,345,5.57,Bireysel
2023-03-21,Kuzey Amerika,ABD,New York,Giyim,Pantolon,20,9740,5.21,Kurumsal
2023-09-25,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,12,2280,10.3,KOBİ
2023-08-07,Kuzey Amerika,ABD,New York,Elektronik,Telefon,9,2916,24.24,KOBİ
2023-01-08,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,8,2328,19.97,Kurumsal
2023-05-31,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Sandalye,14,1568,20.01,KOBİ
2023-03-11,Avrupa,Almanya,Berlin,Mobilya,Masa,5,1205,25.27,Kurumsal
2023-04-13,Avrupa,Almanya,Berlin,Giyim,Ayakkabı,12,4944,17.79,Bireysel
2023-04-04,Avrupa,İngiltere,Londra,Mobilya,Dolap,16,816,13.66,KOBİ
2023-05-26,Avrupa,Fransa,Paris,Giyim,Tişört,9,4122,21.85,KOBİ
2023-12-06,Güney Amerika,Şili,Santiago,Elektronik,Laptop,10,4310,13.14,Kurumsal
2023-06-03,Avrupa,İngiltere,Londra,Elektronik,Tablet,2,362,6.97,Kurumsal
2023-01-12,Avrupa,Fransa,Paris,Giyim,Tişört,20,2460,6.76,Bireysel
2023-05-12,Kuzey Amerika,Meksika,Mexico City,Giyim,Tişört,9,2736,18.55,Bireysel
2023-04-25,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,5,915,21.97,KOBİ
2023-01-11,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,15,2310,5.68,Kurumsal
2023-03-16,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,9,3096,22.05,KOBİ
2023-08-16,Asya,Çin,Pekin,Giyim,Ceket,18,1080,14.16,KOBİ
2023-02-25,Güney Amerika,Şili,Santiago,Giyim,Pantolon,18,4338,18.09,KOBİ
2023-01-19,Avrupa,İngiltere,Londra,Elektronik,Telefon,5,1315,19.21,Bireysel
2023-09-21,Kuzey Amerika,ABD,New York,Mobilya,Kitaplık,9,720,29.02,KOBİ
2023-02-11,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,19,3819,5.58,Bireysel
2023-10-04,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,10,3280,28.73,Kurumsal
2023-10-31,Kuzey Amerika,Kanada,Toronto,Mobilya,Sandalye,5,680,16.03,KOBİ
2023-05-16,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,16,2256,9.32,Kurumsal
2023-01-03,Avrupa,İngiltere,Londra,Mobilya,Masa,1,486,19.64,KOBİ
2023-07-26,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,1,349,17.14,KOBİ
2023-06-13,Kuzey Amerika,ABD,New York,Giyim,Tişört,1,95,13.2,KOBİ
2023-01-27,Asya,Çin,Pekin,Elektronik,Telefon,9,3537,8.7,KOBİ
2023-05-23,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,19,8892,16.91,Kurumsal
2023-08-01,Afrika,Nijerya,Lagos,Mobilya,Masa,10,1350,14.24,Kurumsal
2023-12-15,Asya,Çin,Pekin,Elektronik,Kulaklık,10,1200,29.83,KOBİ
2023-02-06,Kuzey Amerika,Kanada,Toronto,Giyim,Ayakkabı,15,1665,12.22,KOBİ
2023-09-11,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,7,644,12.45,Kurumsal
2023-07-07,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,10,3150,29.87,Kurumsal
2023-10-27,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,12,5652,24.74,KOBİ
2023-06-24,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,17,4454,25.18,Kurumsal
2023-12-12,Afrika,Nijerya,Lagos,Giyim,Ayakkabı,19,1615,17.45,Bireysel
2023-11-29,Afrika,Mısır,Kahire,Elektronik,Tablet,11,2948,6.04,Bireysel
2023-12-15,Avrupa,İngiltere,Londra,Giyim,Tişört,1,250,24.62,KOBİ
2023-11-03,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,14,2730,20.23,Kurumsal
2023-09-21,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,17,3638,17.6,KOBİ
2023-04-30,Asya,Japonya,Tokyo,Elektronik,Tablet,7,1890,21.03,KOBİ
2023-02-19,Güney Amerika,Şili,Santiago,Elektronik,Telefon,20,7540,19.69,Kurumsal
2023-12-01,Afrika,Nijerya,Lagos,Elektronik,Tablet,6,2448,28.87,Kurumsal
2023-01-03,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,8,3888,24.81,Kurumsal
2023-09-30,Afrika,Nijerya,Lagos,Mobilya,Dolap,4,220,22.98,KOBİ
2023-01-04,Afrika,Güney Afrika,Cape Town,Mobilya,Kitaplık,16,2480,22.27,Bireysel
2023-01-18,Güney Amerika,Şili,Santiago,Giyim,Ceket,13,1105,6.25,KOBİ
2023-04-15,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,5,465,16.51,Kurumsal
2023-04-04,Kuzey Amerika,Meksika,Mexico City,Elektronik,Telefon,16,896,21.57,KOBİ
2023-04-30,Afrika,Mısır,Kahire,Elektronik,Tablet,12,5016,18.67,Kurumsal
2023-09-03,Kuzey Amerika,ABD,New York,Elektronik,Telefon,8,2592,20.26,Kurumsal
2023-08-30,Avrupa,İngiltere,Londra,Elektronik,Telefon,15,3135,9.01,KOBİ
2023-12-18,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,11,1067,7.6,Kurumsal
2023-12-26,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,19,7030,21.85,Kurumsal
2023-01-17,Asya,Çin,Pekin,Mobilya,Kitaplık,20,8220,28.27,KOBİ
2023-12-18,Avrupa,Fransa,Paris,Elektronik,Telefon,14,5586,8.17,Kurumsal
2023-07-11,Asya,Japonya,Tokyo,Giyim,Ayakkabı,15,5175,25.88,Kurumsal
2023-04-23,Avrupa,Fransa,Paris,Mobilya,Sandalye,15,4710,24.41,KOBİ
2023-12-23,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,10,4900,15.75,Kurumsal
2023-08-01,Avrupa,İngiltere,Londra,Mobilya,Sandalye,17,2652,11.28,Kurumsal
2023-03-05,Avrupa,İngiltere,Londra,Mobilya,Kitaplık,9,3942,18.01,KOBİ
2023-05-14,Afrika,Mısır,Kahire,Mobilya,Dolap,8,288,5.92,KOBİ
2023-01-28,Kuzey Amerika,Meksika,Mexico City,Elektronik,Kulaklık,4,1104,26.77,KOBİ
2023-09-08,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,3,999,21.1,Kurumsal
2023-11-10,Kuzey Amerika,ABD,New York,Elektronik,Telefon,4,1396,24.51,Kurumsal
2023-05-26,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,3,399,24.82,Bireysel
2023-02-17,Avrupa,Almanya,Berlin,Giyim,Tişört,13,2327,17.34,Bireysel
2023-08-27,Afrika,Mısır,Kahire,Giyim,Ceket,7,2576,9.48,KOBİ
2023-02-02,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,17,6443,8.09,Bireysel
2023-06-23,Afrika,Nijerya,Lagos,Mobilya,Dolap,16,5376,8.61,Bireysel
2023-02-04,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,10,4670,19.02,KOBİ
2023-07-31,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,14,616,10.91,Kurumsal
2023-10-31,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,16,6832,13.51,Kurumsal
2023-10-28,Asya,Japonya,Tokyo,Giyim,Pantolon,4,192,25.1,Bireysel
2023-01-09,Asya,Çin,Pekin,Giyim,Tişört,3,1317,16.29,KOBİ
2023-08-10,Asya,Japonya,Tokyo,Giyim,Tişört,10,4770,8.53,KOBİ
2023-06-23,Asya,Japonya,Tokyo,Giyim,Ceket,16,7744,11.47,KOBİ
2023-11-09,Kuzey Amerika,Kanada,Toronto,Mobilya,Sandalye,13,4004,26.22,Bireysel
2023-01-23,Kuzey Amerika,ABD,New York,Elektronik,Telefon,12,2856,21.65,Kurumsal
2023-03-20,Afrika,Mısır,Kahire,Mobilya,Kitaplık,11,1518,25.24,KOBİ
2023-04-26,Afrika,Mısır,Kahire,Giyim,Ayakkabı,17,1598,23.43,Bireysel
2023-09-18,Kuzey Amerika,Kanada,Toronto,Giyim,Tişört,18,3834,24.48,KOBİ
2023-07-06,Afrika,Mısır,Kahire,Mobilya,Dolap,10,920,13.73,KOBİ
2023-08-03,Güney Amerika,Şili,Santiago,Mobilya,Dolap,11,770,19.39,KOBİ
2023-10-18,Avrupa,Almanya,Berlin,Mobilya,Kitaplık,3,192,20.36,KOBİ
2023-02-24,Afrika,Mısır,Kahire,Mobilya,Masa,1,294,13.27,Kurumsal
2023-04-27,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,14,2604,23.87,KOBİ
2023-07-17,Asya,Japonya,Tokyo,Mobilya,Dolap,7,2380,6.37,KOBİ
2023-03-28,Kuzey Amerika,Kanada,Toronto,Mobilya,Sandalye,17,5576,23.64,Kurumsal
2023-08-20,Asya,Japonya,Tokyo,Elektronik,Tablet,5,2185,8.63,Bireysel
2023-05-12,Asya,Hindistan,Mumbai,Giyim,Ceket,8,1544,14.82,Kurumsal
2023-01-24,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,20,9140,17.61,Kurumsal
2023-10-09,Afrika,Mısır,Kahire,Mobilya,Sandalye,1,124,7.04,KOBİ
2023-12-24,Asya,Çin,Pekin,Mobilya,Dolap,12,4452,9.12,Bireysel
2023-08-08,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,3,1173,18.35,KOBİ
2023-09-08,Avrupa,İngiltere,Londra,Giyim,Tişört,15,5160,29.91,KOBİ
2023-10-30,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,2,100,7.04,Bireysel
2023-12-28,Afrika,Nijerya,Lagos,Giyim,Tişört,13,923,19.61,Bireysel
2023-11-16,Avrupa,Fransa,Paris,Elektronik,Tablet,4,1672,10.57,Bireysel
2023-10-23,Asya,Çin,Pekin,Mobilya,Masa,2,748,6.65,Bireysel
2023-09-03,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,20,5260,7.19,Bireysel
2023-03-13,Asya,Hindistan,Mumbai,Giyim,Ceket,16,4256,6.17,Bireysel
2023-01-08,Afrika,Nijerya,Lagos,Giyim,Ceket,17,4743,14.79,Bireysel
2023-06-25,Afrika,Mısır,Kahire,Mobilya,Masa,19,1615,13.46,Bireysel
2023-10-14,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,20,9560,12.2,Kurumsal
2023-06-11,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,7,1694,5.48,Kurumsal
2023-11-07,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Kulaklık,7,3402,12.45,Bireysel
2023-03-09,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ayakkabı,1,261,14.4,Kurumsal
2023-09-15,Avrupa,Almanya,Berlin,Mobilya,Sandalye,15,3960,22.8,Kurumsal
2023-06-01,Asya,Çin,Pekin,Mobilya,Sandalye,19,9234,25.24,Kurumsal
2023-12-08,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,8,3832,28.58,Bireysel
2023-06-26,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,6,2298,7.7,KOBİ
2023-08-31,Asya,Hindistan,Mumbai,Giyim,Tişört,14,1932,16.97,Kurumsal
2023-11-03,Güney Amerika,Şili,Santiago,Mobilya,Sandalye,12,4896,17.37,Kurumsal
2023-08-13,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,20,480,10.18,Bireysel
2023-11-22,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,11,4015,10.54,Kurumsal
2023-05-18,Afrika,Nijerya,Lagos,Elektronik,Tablet,10,640,18.98,KOBİ
2023-09-12,Asya,Hindistan,Mumbai,Giyim,Ayakkabı,12,3276,23.95,KOBİ
2023-03-03,Kuzey Amerika,Meksika,Mexico City,Giyim,Tişört,1,30,28.01,KOBİ
2023-10-11,Asya,Japonya,Tokyo,Mobilya,Masa,4,60,22.01,Kurumsal
2023-02-09,Afrika,Nijerya,Lagos,Mobilya,Sandalye,20,8980,5.78,KOBİ
2023-10-15,Güney Amerika,Şili,Santiago,Mobilya,Kitaplık,12,5808,16.14,Kurumsal
2023-05-27,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,3,1017,20.33,Bireysel
2023-08-02,Kuzey Amerika,Meksika,Mexico City,Giyim,Tişört,9,3132,15.95,Bireysel
2023-07-20,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,16,7920,22.87,Kurumsal
2023-07-04,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,19,1900,25.67,KOBİ
2023-12-09,Asya,Japonya,Tokyo,Giyim,Pantolon,11,1793,9.27,Bireysel
2023-01-11,Avrupa,İngiltere,Londra,Mobilya,Masa,7,1638,16.42,Kurumsal
2023-06-04,Afrika,Güney Afrika,Cape Town,Giyim,Ceket,20,7740,20.48,Bireysel
2023-10-17,Kuzey Amerika,Meksika,Mexico City,Mobilya,Dolap,20,9420,5.41,Kurumsal
2023-05-07,Asya,Japonya,Tokyo,Elektronik,Tablet,7,2030,22.08,Bireysel
2023-11-16,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,11,176,10.48,Kurumsal
2023-12-21,Güney Amerika,Şili,Santiago,Elektronik,Tablet,15,2310,10.79,Bireysel
2023-04-26,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ayakkabı,6,1020,8.65,Kurumsal
2023-01-16,Asya,Çin,Pekin,Mobilya,Kitaplık,17,7854,17.24,KOBİ
2023-11-04,Kuzey Amerika,ABD,New York,Giyim,Ceket,7,385,26.05,Kurumsal
2023-11-16,Kuzey Amerika,ABD,New York,Mobilya,Masa,9,2016,16.58,Bireysel
2023-03-07,Avrupa,İngiltere,Londra,Elektronik,Laptop,5,480,13.57,Bireysel
2023-10-31,Güney Amerika,Şili,Santiago,Giyim,Ayakkabı,18,7704,11.87,Kurumsal
2023-01-21,Afrika,Mısır,Kahire,Mobilya,Sandalye,7,483,19.34,KOBİ
2023-02-09,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,10,3520,15.91,Bireysel
2023-10-22,Avrupa,İngiltere,Londra,Giyim,Ceket,3,924,25.12,Kurumsal
2023-07-15,Afrika,Mısır,Kahire,Giyim,Ceket,17,646,14.5,KOBİ
2023-08-09,Kuzey Amerika,ABD,New York,Mobilya,Sandalye,1,93,15.72,KOBİ
2023-03-15,Afrika,Güney Afrika,Cape Town,Giyim,Ceket,16,4848,19.75,Kurumsal
2023-01-14,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,1,230,26.64,KOBİ
2023-11-01,Güney Amerika,Şili,Santiago,Elektronik,Kulaklık,11,4334,12.01,Kurumsal
2023-09-26,Avrupa,Almanya,Berlin,Elektronik,Tablet,19,209,26.58,Bireysel
2023-01-01,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,17,7905,12.38,KOBİ
2023-08-08,Avrupa,İngiltere,Londra,Giyim,Ceket,15,930,19.71,Kurumsal
2023-08-24,Güney Amerika,Şili,Santiago,Elektronik,Tablet,15,2040,25.88,KOBİ
